model,auc_roc,avg_precision,log_loss,brier,accuracy
RF,0.6758748575848188,0.3506859133923233,0.4730699883657528,0.15145228848650363,0.7984137475214805
XGB,0.6649804451556078,0.34377886842437877,0.4784295051691402,0.15296467372561884,0.7993390614672835
LOGREG,0.6362614281070129,0.31376942464997487,0.4874598355402421,0.15621007395727038,0.797752808988764
